sponsor_list,MAAPE
Baltimore Sun,3.7
Utah Policy Center,4.3
State House News,4.8
Detroit News,5.1
GOPAC Texas,6.2
Oregonian,9.1
Riley Research,9.1
WFAA/Belo,9.3
Marketing Resource Group,9.9
Western New England University,15.6
EPIC MRA,16.7
Press Register,17.5
WSMV,18.3
Albuquerque Journal,18.8
Washington Post,20.2
Deseret News,20.4
Foster McCollum White Associates/Baydoun Consulting,21.5
Team TelCom,22.7
Landmark Communication,23
Mitchell Research Communications,27.4
WPRI,29
KCCI,30.7
Denver Post,31.2
Sooner Poll,31.7
Siena College,31.8
Honolulu Star Advertiser,31.9
Morning Call,32.5
Dallas Morning News,32.5
Behavior Research Center,33
McClatchy,34.7
Marist College,34.9
Las Vegas Review Journal,37
Susquehanna Polling Research,37.6
Dittman Research,39.5
Critical Insights,41.9
Pan Atlantic SMS Group,42.6
Gonzales Research,43.2
Franklin Marshall College,43.8
Clarus Research Group,44.9
Retail Association of Nevada,45.7
Boston Globe,46.6
American Research Group,47.7
Los Angeles Times,49.9
OpinionWorks,50.7
InsiderAdvantage,52.3
Field Poll,53.4
Hamilton Campaigns,54.3
News 7,54.4
Texas Lyceum,54.7
Reuters,55.2
Talk Business and Politics,55.9
CBS News/New York Times,56.2
St Petersburg Times,57.4
Rasmussen,59.2
Mason Dixon,59.6
Des Moines Register,60.4
CNN/Time,62.5
Public Policy Institute of California,62.8
Aloha Vote,65.3
Bernard Rappaport,65.3
Magellan Strategies,67
Public Policy Polling,68.6
SurveyUSA,69.2
Daily Kos,70.7
New York Times,70.9
Times Leader,72.7
Ohio Newspapers,72.8
TexasWatch Foundation,74.5
Bangor Daily News,75.9
Columbus Dispatch,77.1
Suffolk University,77.6
Fox News,77.8
WMUR,78.3
Wisconsin Public Radio,79.5
Wilson Research,82.7
Winthrop University,83
Mellman Group,86.6
Quinnipiac University,87.5
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,94.2
Sunshine State News,98.9
Vermont Public Radio,99.9
CT Capitol Report,103
Florida Chamber of Commerce,116.6
Portland Tribune,117.7
Ohio Right to Life,121.7
Chicago Tribune,124.2
TCPalm,127.8
Minnesota Public Radio,131.6
WCAX,141.9
Post Dispatch,146
Moore Information Group,147
Star Tribune,150.8
Paul Simon Public Policy Institute,151.2
St Cloud State University,151.8
We Ask America,152.3
