pollster_list,MAAPE
ABT Associates,6.5
Hart Research Associates/Public Opinion Strategies,18.7
Susan Pinkus/Interviewing Service of America Inc,24
Tarrance Group/Lake Research Partners,24.6
Princeton Survey Research Associates International,24.7
Democracy Corps,27.6
Rasmussen,28.8
Opinion Dynamics,29
George Washington University,29.6
Gallup,34.6
Growth from Knowledge,35.1
CBS News Election Survey Unit,37.1
Pew Research,38.2
TNS Global,38.2
Opinion Research Corporation,46.1
Financial Dynamics,48.9
Ipsos,59.9
