sponsor_list,MAAPE
OnSight Public Affairs/Keating Research,3.6
Vermont Public Radio,4.6
University of Mary Washington,5.1
GW Battleground Poll,7.1
Public Opinion Strategies,8.7
University of Massachusetts Lowell,10
Harvard University,14
Boston Globe,14.5
Washington Post,15.1
Keating Research/Magellan Strategies Polling,15.5
NBC News/Wall Street Journal,15.9
Roanoke College,18.7
Western New England University,18.8
Stanford University,18.8
Morning Call,19.7
Franklin Marshall College,20.4
Texas Lyceum,21.4
Paul Simon Public Policy Institute,21.8
National Public Radio/PBS,21.9
WBUR,22.8
Gallup,22.8
Gonzales Research,24.2
NBC Valley News,25.9
Goucher College,25.9
Talk Business and Politics,27.5
CNBC,27.8
University of Arkansas,28
Star Tribune,28
Remington Research,28.3
Marist College,28.3
Reuters,28.7
Magellan Strategies,31.1
Indy Politics,31.2
Mitchell Research Communications,32
OH Predictive Insights,32.7
Oregonian,33.2
Economist,33.8
Pew Research,34.2
Investors Business Daily,34.4
ABC News/Washington Post,36.5
Los Angeles Times,36.6
We Ask America,38.1
Fox News,38.5
University of California Berkeley,38.7
KABC,39.5
WXIA,40.5
Landmark Communication,40.5
National Public Radio,40.5
Pan Atlantic SMS Group,41
KSTP,42.4
WPRI,42.4
EPIC MRA,42.7
Virginia Commonwealth University,43.5
KELOLAND Media Group,45.1
Siena College,45.3
KGTV,46.7
Cole Hargrave Snodgrass Associates,46.7
Public Policy Institute of California,47
Fairleigh Dickinson University,48.3
Rutgers University Eagleton,48.6
KFI/NBC 4,49.2
Rasmussen,49.8
Monmouth University,49.8
Hoffman Research,52
Montana State University,52
University of New Hampshire,53.9
Marquette University,54.1
Texas Tribune,54.1
Albuquerque Journal,55.8
Alaska Survey Research,56.3
Emerson College Poll,57.6
Susquehanna Polling Research,58
KOBT,58.7
University of Delaware,58.8
East Tennessee State University,58.9
Quinnipiac University,59.3
Public Policy Polling,59.3
Oregon Public Broadcasting,61.9
Suffolk University,62.1
Christopher Newport University,62.8
Vanderbilt University,63.2
Target Insyght,64.8
ZiaPoll,64.8
Landmark Communication/Rosetta Stone Communications,64.8
Opinion Savvy,64.8
Bloomberg News,64.8
WMUR,64.8
Hampton University,64.8
Columbus Dispatch,64.8
Fox 2 Detroit,64.8
WSB TV,64.8
Keating Research,64.8
Harper Polling,64.8
McClatchy,64.8
WTHR/Howey Politics Indiana,64.8
Detroit Free Press,64.8
Loras College,64.8
Y2 Analytics,64.8
Fort Hays St University,64.8
Fox 13,64.8
American Research Group,64.8
News 7,64.8
Richard Stockton College,64.8
News 13,64.8
CBS News/New York Times,64.8
News 8 NOW Las Vegas,64.8
Heat Street,64.8
University of Denver,64.8
WRAL,64.8
Field Poll,64.8
Western Kentucky University,64.8
Winthrop University,64.8
Fox 12,64.8
Elon University,64.8
Dixie Strategies,64.8
Maine Peoples Resource Center,64.8
St Louis Post Dispatch,64.8
Nielson Brothers Polling,64.8
Portland Press Herald,64.8
ABC News,64.8
Austin American Statesman,64.8
Associated Press,64.8
Las Vegas Review Journal,64.8
KTNV,64.8
WCAX,64.8
Southern Media and Opinion Research,64.8
WBZ,64.8
University of New Orleans,64.8
Fox 8,64.8
Wisconsin Public Radio,64.8
WISHTV,64.8
KSN News,64.8
Arizona Republic,64.8
University of Houston,64.8
University of Washington,64.8
KATU,64.8
WFAA,64.8
Detroit News,64.8
The Atlantic,64.8
Idaho Politics Weekly,64.8
Moore Information Group,64.8
High Point University,64.8
Newsday,64.8
KOMO News,64.8
University of Nevada Las Vegas,64.8
NBC 4 NY/Wall Street Journal,64.8
WWL TV,64.8
Mercyhurst University,64.8
Rocky Mountain PBS,64.8
Colby College,64.8
Davis Hibbitts Midghall Research,64.8
OpinionWorks,64.8
KSDK,64.8
News Journal,64.8
Alaska Dispatch,64.8
Behavior Research Center,64.8
Guardian,64.8
Boston Herald,64.8
Golden State Poll,64.8
American Federation for Children,64.8
Associated Industries of Florida,64.8
Dartmouth College,64.8
NBC 4 NY,64.8
Fox Business,64.8
Merrill Research International,64.8
TEGNA Inc,64.8
CNN/WMUR,64.8
Independent Womens Voice,64.8
WFB,64.8
Vox Populi Polling,64.8
InsiderAdvantage,64.8
New England College,64.8
YouGov,64.8
San Diego Union Tribune,64.8
Denver Post,64.8
News 9/News 6,64.8
Courier Journal,64.8
Bangor Daily News,64.8
Chicago Sun Times,64.8
Tampa Bay Times/News 9/News 13,64.8
Brown University,64.8
Ivan Moore Research,64.8
Impact Management Group,64.8
Red Racing Hourse Elections,64.8
Argus Leader/KELO TV,64.8
Chicago Tribune,64.8
Honolulu Civil Beat,64.8
