pollster_list,MAAPE
Harris Deville Associates,3.4
University of Arkansas,7.2
Dittman Research,9.8
Mellman Group,12.3
University of Massachusetts,12.3
Siena College,12.7
Field Poll,15.6
Brown University,15.8
Greenberg McInturff,16.5
University of New Orleans,17.1
Capital Survey Research Center,17.1
Arkansas State University,17.3
National Republican Senatorial Committee,17.7
Behavior Research Center,18.8
Research Marketing Strategies,19.3
Philadelphia Inquirer,19.7
Mansfield University,19.7
Greg Smith Associates,20.9
Dan Jones Associates,21
Gonzales Research,21.4
University of South Alabama,22.1
Public Policy Institute of California,22.2
Southern Media and Opinion Research,22.6
Merrimack College,22.6
RKM Research,22.7
Loyola University,26.4
San Jose State University,28.2
University of Oregon,29.7
Multi Quest,30.1
KELOLAND Media Group,31.3
Northern Arizona University,32.7
Texas Tech University,33.2
Harrison Hickman,33.3
Market Research Institute,37.3
Belden Russonello Stewart,37.3
WPAi,37.3
Bellwether Research Consulting,37.4
Montana State University,39.1
TelOpinion Research,39.5
Tarrance Group,40
BP&B,41.1
Market  Solutions Group,41.8
Market Research Insight,42.3
Middle Tennessee State University,42.6
Moore Information Group,43.1
Arizona State University,44.4
Wilson Research Strategies,45.5
SurveyUSA,46.8
Fairleigh Dickinson University,47.4
Research 2000,48.9
Muhlenberg College,49.1
EPIC MRA,49.9
University of Connecticut,50.6
American Viewpoint,51.4
Cole Hargrave Snodgrass Associates,51.7
Greenberg Quinlan Rosner,51.7
Market Shares Corp,51.8
Ciruli Associates,52.6
Temple University,54
Strategic Marketing Services,54.4
Marist College,55.1
Mason Dixon,55.3
Columbus Dispatch,56.6
Rasmussen,56.8
Public Opinion Strategies,56.8
Critical Insights,58.8
Ayers McHenry Associates,58.8
FM3 Research,59.5
Opinion Research Corporation,60
Quinnipiac University,61.7
Consumer Logic Research,62
West Chester University,64.3
McLaughlin Associates,65.1
Franklin Pierce College,65.5
Strategic Vision,66.5
Research Polling Inc,66.8
Suffolk University,67
Selzer Company,68.1
American Research Group,68.3
Social Science Research Solutions,68.4
Democratic Senatorial Campaign Committee,69.1
Hart Research Associates/Market Opinion Research,69.6
Marketing Resource Group,70
SMS,70.1
TechnoMetric  Institute of Policy Politics,71.5
Feldman Group,73.2
Global Strategy Group,74.7
Scripps Research Center,75
Franklin Marshall College,76
Ipsos,77.4
George Washington University,78
Sooner Poll,78.1
Opinion Dynamics,78.2
St Cloud State University,78.5
InsiderAdvantage,78.5
The Harris Poll,78.7
Susan Pinkus/Interviewing Service of America Inc,78.9
Elway Research,79.6
Zogby Analytics,79.7
Schroth Eldon Associates,81.4
University of New Hampshire,81.9
Ward Research,82.4
Pew Research,82.7
University of Cincinnati,86.3
Westhill Consulting,86.5
Hamilton Beattie Staff,88.6
Tarrance Group/Lake Research Partners,88.7
Gallup,89.1
Mitchell Research Communications,90.2
Sacred Heart University,90.4
CBS News Election Survey Unit,90.9
TNS Global,90.9
University of North Carolina Ashville,91.7
Princeton Survey Research Associates International,93.4
Bennett Petts Normington,95.1
ABT Associates,95.5
Oregon State University,97.5
Garin Hart Yang Research Group,97.8
Anzalone Liszt Grove Research,100.5
Ivan Moore Research,102.6
Becker Institue,105.6
Riley Research,105.9
Democracy Corps,106.1
New York Times,109.2
University of North Florida,109.2
Hart Research Associates,110.4
University of Minnesota,110.7
Lake Snell Perry,113.9
Central Surveys,118
Public Opinion Strategies/Greenberg Quinlan Rosner,121.2
Harstead Strategy,127.5
Creators Syndicate,129.2
University of Wisconsin,130.8
Hart McInturff,134.4
St Norbert College,149.7
